,open,high,low,close,volume,value
2022-07-01 05:27:00,25136000.0,25138000.0,25129000.0,25129000.0,3.84423367,96608788.39282
2022-07-01 05:28:00,25130000.0,25132000.0,25129000.0,25129000.0,1.47732442,37124491.28067
2022-07-01 05:29:00,25129000.0,25136000.0,25129000.0,25132000.0,4.88160078,122686104.61448
2022-07-01 05:30:00,25132000.0,25143000.0,25130000.0,25132000.0,1.77680299,44663604.38543
2022-07-01 05:31:00,25133000.0,25141000.0,25130000.0,25140000.0,4.34647923,109234366.5284
2022-07-01 05:32:00,25140000.0,25140000.0,25132000.0,25139000.0,2.11434964,53140825.86746
2022-07-01 05:33:00,25139000.0,25171000.0,25133000.0,25152000.0,2.64621577,66543313.43657
2022-07-01 05:34:00,25152000.0,25172000.0,25146000.0,25148000.0,3.12777841,78679150.62091
2022-07-01 05:35:00,25152000.0,25152000.0,25146000.0,25148000.0,1.99395635,50144622.01859
2022-07-01 05:36:00,25147000.0,25152000.0,25104000.0,25104000.0,11.64397151,292700182.06455
2022-07-01 05:37:00,25100000.0,25101000.0,25065000.0,25091000.0,7.05503819,176954630.58441
2022-07-01 05:38:00,25069000.0,25091000.0,25024000.0,25042000.0,7.99198674,200154019.64386
2022-07-01 05:39:00,25043000.0,25043000.0,25014000.0,25042000.0,2.70124346,67615242.40167
2022-07-01 05:40:00,25043000.0,25044000.0,25025000.0,25026000.0,4.93024452,123419495.14598
2022-07-01 05:41:00,25026000.0,25026000.0,25001000.0,25002000.0,7.37752063,184539030.50439
2022-07-01 05:42:00,25003000.0,25007000.0,24964000.0,24969000.0,43.01525729,1075151177.49375
2022-07-01 05:43:00,24969000.0,24969000.0,24952000.0,24953000.0,6.52180656,162779995.53594
2022-07-01 05:44:00,24953000.0,24982000.0,24949000.0,24982000.0,12.54696718,313071041.27865
2022-07-01 05:45:00,24982000.0,24995000.0,24972000.0,24980000.0,5.31465022,132748321.48639
2022-07-01 05:46:00,24980000.0,24991000.0,24954000.0,24978000.0,4.28597868,107004775.63578
2022-07-01 05:47:00,24955000.0,24990000.0,24955000.0,24980000.0,5.17691983,129302536.2565
2022-07-01 05:48:00,24980000.0,24990000.0,24912000.0,24912000.0,12.67144509,316054047.13701
2022-07-01 05:49:00,24911000.0,24930000.0,24855000.0,24855000.0,24.80936335,617772629.01825
2022-07-01 05:50:00,24854000.0,24880000.0,24830000.0,24854000.0,26.70575637,663549042.03001
2022-07-01 05:51:00,24854000.0,24893000.0,24849000.0,24878000.0,10.09952196,251208606.23838
2022-07-01 05:52:00,24874000.0,24878000.0,24857000.0,24875000.0,3.34376866,83144040.03939
2022-07-01 05:53:00,24876000.0,24876000.0,24853000.0,24869000.0,7.63290803,189739369.83012
2022-07-01 05:54:00,24868000.0,24869000.0,24856000.0,24856000.0,3.94270961,98013695.42463
2022-07-01 05:55:00,24856000.0,24936000.0,24856000.0,24908000.0,7.16335057,178385266.8052
2022-07-01 05:56:00,24908000.0,24923000.0,24892000.0,24909000.0,9.51825745,237060660.57325
2022-07-01 05:57:00,24908000.0,24926000.0,24895000.0,24895000.0,3.53045775,87920461.61653
2022-07-01 05:58:00,24896000.0,24941000.0,24896000.0,24917000.0,5.99505625,149368735.16592
2022-07-01 05:59:00,24918000.0,24929000.0,24896000.0,24919000.0,8.77119807,218524637.80007
2022-07-01 06:00:00,24919000.0,24919000.0,24899000.0,24899000.0,4.79750802,119499094.99894
2022-07-01 06:01:00,24899000.0,24908000.0,24884000.0,24884000.0,13.57429648,337895134.14953
2022-07-01 06:02:00,24884000.0,24925000.0,24874000.0,24885000.0,8.08347397,201173012.66243
2022-07-01 06:03:00,24886000.0,24925000.0,24886000.0,24920000.0,11.24533451,280052257.81534
2022-07-01 06:04:00,24913000.0,24964000.0,24909000.0,24962000.0,5.33774042,133149730.85528
2022-07-01 06:05:00,24962000.0,24991000.0,24945000.0,24991000.0,9.14307865,228283234.5453
2022-07-01 06:06:00,24976000.0,25004000.0,24976000.0,25000000.0,6.25252306,156275900.90759
2022-07-01 06:07:00,25000000.0,25003000.0,24932000.0,24943000.0,11.14552036,278493878.07993
2022-07-01 06:08:00,24965000.0,24977000.0,24948000.0,24966000.0,4.64094655,115855044.02038
2022-07-01 06:09:00,24966000.0,24973000.0,24905000.0,24921000.0,8.61990304,214960172.73375
2022-07-01 06:10:00,24920000.0,25017000.0,24920000.0,25000000.0,4.95266638,123577919.09151
2022-07-01 06:11:00,24997000.0,25016000.0,24983000.0,24999000.0,3.05005498,76237102.00029
2022-07-01 06:12:00,24999000.0,25027000.0,24999000.0,25020000.0,2.22145657,55567096.35039
2022-07-01 06:13:00,25012000.0,25087000.0,25012000.0,25053000.0,6.12397406,153468788.90031
2022-07-01 06:14:00,25050000.0,25069000.0,25050000.0,25053000.0,2.89345294,72510991.57099
2022-07-01 06:15:00,25053000.0,25066000.0,25053000.0,25060000.0,3.76956707,94458786.21023
2022-07-01 06:16:00,25057000.0,25119000.0,25057000.0,25096000.0,23.46430522,588898496.74169
2022-07-01 06:17:00,25096000.0,25122000.0,25085000.0,25101000.0,14.72258694,369595775.70244
2022-07-01 06:18:00,25125000.0,25131000.0,25053000.0,25053000.0,15.33775108,384879751.47356
2022-07-01 06:19:00,25053000.0,25053000.0,24999000.0,24999000.0,11.1485181,278954317.48319
2022-07-01 06:20:00,24999000.0,25056000.0,24997000.0,25056000.0,2.01871802,50485205.17545
2022-07-01 06:21:00,25060000.0,25060000.0,25011000.0,25012000.0,4.35265216,108896660.86663
2022-07-01 06:22:00,25019000.0,25019000.0,24996000.0,24998000.0,4.69762494,117446174.32791
2022-07-01 06:23:00,24998000.0,25008000.0,24996000.0,25005000.0,6.68133525,167024033.54619
2022-07-01 06:24:00,25005000.0,25005000.0,24998000.0,25000000.0,5.46892268,136717935.28659
2022-07-01 06:25:00,25000000.0,25000000.0,24998000.0,24999000.0,2.61036143,65257014.55596
2022-07-01 06:26:00,24998000.0,25000000.0,24998000.0,24999000.0,3.04688426,76167039.99025
2022-07-01 06:27:00,24999000.0,25000000.0,24995000.0,24998000.0,9.1572215,228914590.70129
2022-07-01 06:28:00,24998000.0,24998000.0,24984000.0,24990000.0,6.33967778,158439251.75516
2022-07-01 06:29:00,24990000.0,24998000.0,24959000.0,24962000.0,6.79501912,169704350.55395
2022-07-01 06:30:00,24960000.0,24960000.0,24949000.0,24950000.0,4.23037451,105553532.77714
2022-07-01 06:31:00,24951000.0,24980000.0,24946000.0,24973000.0,9.61415753,239958053.30551
2022-07-01 06:32:00,24973000.0,25031000.0,24966000.0,25031000.0,9.46682829,236596747.08452
2022-07-01 06:33:00,25016000.0,25052000.0,25001000.0,25021000.0,4.64227936,116216690.27303
2022-07-01 06:34:00,25021000.0,25021000.0,24986000.0,24999000.0,4.64796447,116216468.05803
2022-07-01 06:35:00,24986000.0,24986000.0,24952000.0,24964000.0,6.02291591,150376579.37387
2022-07-01 06:36:00,24964000.0,25021000.0,24959000.0,25012000.0,12.04999547,300892803.75656
2022-07-01 06:37:00,24987000.0,25012000.0,24982000.0,24990000.0,3.73710677,93404210.42821
2022-07-01 06:38:00,24989000.0,24990000.0,24980000.0,24985000.0,4.70167304,117485663.78518
2022-07-01 06:39:00,24985000.0,24987000.0,24977000.0,24979000.0,2.64358815,66041101.38106
2022-07-01 06:40:00,24978000.0,24979000.0,24960000.0,24963000.0,6.20396315,154883013.90266
2022-07-01 06:41:00,24963000.0,24963000.0,24952000.0,24952000.0,4.52046704,112824712.93958
2022-07-01 06:42:00,24951000.0,24952000.0,24918000.0,24919000.0,6.23144125,155413117.53429
